order_id,actual_delivery_date,delay_reason,driver_id,driver_name,hub_name,is_delayed,is_on_time,order_date,order_status,vehicle_code,vehicle_type,csat,delivery_hrs,hub_processing_hrs,order_year,order_month,order_month_name,order_quarter,order_dayofweek,is_weekend
30,2024-05-05,Severe Weather,24,Elizabeth Jones,Dallas Main Hub,True,False,2024-05-03,Delivered,FT-008,Van,4,71.78,1.06,2024,5,May,2,Friday,False
31,2024-12-23,,45,Daniel Brown,Houston Hub,False,True,2024-12-22,Delivered,FT-031,Pickup,5,39.64,2.01,2024,12,Dec,4,Sunday,True
32,2024-05-19,Package Sorting Error,26,Kevin Thompson,Dallas Main Hub,True,False,2024-05-19,Delivered,FT-015,Van,4,12.88,2.66,2024,5,May,2,Sunday,True
33,2023-09-04,Customer Not Home,22,David Wilson,Houston Hub,True,False,2023-09-02,Delivered,FT-022,Van,3,57.04,1.7,2023,9,Sep,3,Saturday,True
34,2023-03-11,Hub Processing Delay,14,Sarah Davis,Houston Hub,True,False,2023-03-09,Delivered,FT-016,Van,4,62.98,2.27,2023,3,Mar,1,Thursday,False
35,2023-05-11,,22,David Wilson,Houston Hub,False,True,2023-05-11,Delivered,FT-017,Truck,5,8.04,2.61,2023,5,May,2,Thursday,False
36,2023-11-22,Severe Weather,53,Thomas Martin,Houston Hub,True,False,2023-11-21,Delivered,FT-028,Pickup,2,41.17,3.89,2023,11,Nov,4,Tuesday,False
37,2024-03-22,,13,Daniel Brown,Austin Hub,False,True,2024-03-22,Delivered,FT-007,Van,5,5.07,0.85,2024,3,Mar,1,Friday,False
38,2023-06-19,Incorrect Address,17,Donald Martin,Fort Worth Hub,True,False,2023-06-19,Delivered,FT-039,Van,4,11.1,2.72,2023,6,Jun,2,Monday,False
39,2023-09-26,Multiple Delivery Stops,25,Nancy Harris,Austin Hub,True,False,2023-09-22,Delivered,FT-034,Van,2,101.98,2.44,2023,9,Sep,3,Friday,False
40,2023-11-01,,37,Jessica Jones,Houston Hub,False,True,2023-10-31,Delivered,FT-028,Pickup,4,40.04,3.19,2023,10,Oct,4,Tuesday,False
41,2024-03-13,Road Construction,43,Karen Rodriguez,San Antonio Hub,True,False,2024-03-12,Delivered,FT-005,Van,3,45.81,1.48,2024,3,Mar,1,Tuesday,False
42,2023-08-22,Vehicle Breakdown,1,Kevin Jones,Dallas Main Hub,True,False,2023-08-21,Delivered,FT-018,Truck,4,44.55,1.7,2023,8,Aug,3,Monday,False
43,2023-10-28,,11,Linda Taylor,San Antonio Hub,False,True,2023-10-27,Delivered,FT-005,Van,5,25.86,1.17,2023,10,Oct,4,Friday,False
44,2023-08-24,,27,Lisa Moore,Dallas Main Hub,False,True,2023-08-22,Delivered,FT-026,Box Truck,4,52.04,2.4,2023,8,Aug,3,Tuesday,False
45,,Driver Unavailable,4,Charles Thompson,Fort Worth Hub,True,False,2024-06-10,Cancelled,FT-030,Van,1,,2.08,2024,6,Jun,2,Monday,False
46,2024-03-23,Incorrect Address,25,Nancy Harris,Austin Hub,True,False,2024-03-21,Delivered,FT-023,Van,3,63.57,4.02,2024,3,Mar,1,Thursday,False
47,2024-08-02,,40,Charles Moore,Dallas Main Hub,False,True,2024-08-01,Delivered,FT-012,Van,4,42.54,1.6,2024,8,Aug,3,Thursday,False
48,2024-06-18,,22,David Wilson,Houston Hub,False,True,2024-06-18,Delivered,FT-003,Van,4,4.62,1.68,2024,6,Jun,2,Tuesday,False
49,2024-06-16,,49,Joseph Williams,Dallas Main Hub,False,True,2024-06-16,Delivered,FT-013,Van,4,23.2,3.74,2024,6,Jun,2,Sunday,True
50,2023-04-04,,39,Jennifer White,Fort Worth Hub,False,True,2023-04-02,Delivered,FT-030,Van,4,53.37,1.9,2023,4,Apr,2,Sunday,True
51,2023-07-07,,5,Lisa Taylor,San Antonio Hub,False,True,2023-07-07,Delivered,FT-005,Van,5,22.06,0.8,2023,7,Jul,3,Friday,False
52,2023-02-18,,33,Charles Davis,Dallas Main Hub,False,True,2023-02-18,Delivered,FT-015,Van,4,9.1,2.32,2023,2,Feb,1,Saturday,True
53,2023-10-16,,20,David Davis,Fort Worth Hub,False,True,2023-10-15,Delivered,FT-009,Van,4,44.97,3.1,2023,10,Oct,4,Sunday,True
54,2023-09-03,,48,Sarah Moore,Houston Hub,False,True,2023-09-03,Delivered,FT-028,Pickup,4,23.63,1.0,2023,9,Sep,3,Sunday,True
55,2023-04-22,,45,Daniel Brown,Houston Hub,False,True,2023-04-21,Delivered,FT-001,Van,4,47.22,3.51,2023,4,Apr,2,Friday,False
56,2023-12-09,,23,James Anderson,Austin Hub,False,True,2023-12-08,Delivered,FT-020,Truck,5,43.19,0.57,2023,12,Dec,4,Friday,False
57,2023-04-08,,48,Sarah Moore,Houston Hub,False,True,2023-04-06,Delivered,FT-032,Van,4,52.96,1.33,2023,4,Apr,2,Thursday,False
58,2023-07-15,,5,Lisa Taylor,San Antonio Hub,False,True,2023-07-14,Delivered,FT-036,Truck,4,29.93,1.66,2023,7,Jul,3,Friday,False
59,2023-10-12,,55,Matthew Rodriguez,Austin Hub,False,True,2023-10-11,Delivered,FT-020,Truck,5,46.53,2.78,2023,10,Oct,4,Wednesday,False
60,2024-07-11,,41,Jessica Johnson,El Paso Hub,False,True,2024-07-10,Delivered,FT-011,Van,4,41.92,1.21,2024,7,Jul,3,Wednesday,False
61,2024-05-20,,25,Nancy Harris,Austin Hub,False,True,2024-05-19,Delivered,FT-023,Van,5,31.07,3.03,2024,5,May,2,Sunday,True
62,2023-08-16,Incorrect Address,4,Charles Thompson,Fort Worth Hub,True,False,2023-08-14,Delivered,FT-002,Truck,3,65.79,2.51,2023,8,Aug,3,Monday,False
63,2023-08-25,,46,Kevin White,Austin Hub,False,True,2023-08-25,Delivered,FT-007,Van,4,10.22,2.63,2023,8,Aug,3,Friday,False
64,2024-12-13,,12,Charles Thompson,El Paso Hub,False,True,2024-12-12,Delivered,FT-043,Van,4,47.25,2.94,2024,12,Dec,4,Thursday,False
65,2024-10-25,Vehicle Breakdown,44,Christopher Davis,Dallas Main Hub,True,False,2024-10-25,Delivered,FT-018,Truck,3,4.28,3.11,2024,10,Oct,4,Friday,False
66,2023-04-02,Road Construction,50,Nancy Thomas,Dallas Main Hub,True,False,2023-03-29,Delivered,FT-026,Box Truck,4,108.55,0.96,2023,3,Mar,1,Wednesday,False
67,2023-11-24,,39,Jennifer White,Fort Worth Hub,False,True,2023-11-22,Delivered,FT-030,Van,4,51.55,1.46,2023,11,Nov,4,Wednesday,False
68,2023-05-21,,41,Jessica Johnson,El Paso Hub,False,True,2023-05-20,Delivered,FT-006,Van,5,45.47,1.62,2023,5,May,2,Saturday,True
69,2024-11-02,,39,Jennifer White,Fort Worth Hub,False,True,2024-11-02,Delivered,FT-030,Van,5,10.7,2.21,2024,11,Nov,4,Saturday,True
70,2024-06-08,,19,Robert Garcia,Dallas Main Hub,False,True,2024-06-08,Delivered,FT-044,Truck,5,6.4,2.58,2024,6,Jun,2,Saturday,True
71,2023-11-30,,6,Nancy Thompson,Houston Hub,False,True,2023-11-28,Delivered,FT-017,Truck,5,57.03,3.62,2023,11,Nov,4,Tuesday,False
72,2024-07-07,Vehicle Breakdown,53,Thomas Martin,Houston Hub,True,False,2024-07-07,Delivered,FT-001,Van,2,22.41,1.58,2024,7,Jul,3,Sunday,True
73,2023-11-21,Package Sorting Error,7,Karen Hernandez,Dallas Main Hub,True,False,2023-11-17,Delivered,FT-018,Truck,3,119.51,1.62,2023,11,Nov,4,Friday,False
74,2024-07-26,,32,Daniel Thomas,Houston Hub,False,True,2024-07-24,Delivered,FT-019,Van,4,48.55,2.41,2024,7,Jul,3,Wednesday,False
75,2023-11-17,,36,Donald Jackson,Austin Hub,False,True,2023-11-17,Delivered,FT-020,Truck,5,10.72,0.88,2023,11,Nov,4,Friday,False
76,2024-09-11,,20,David Davis,Fort Worth Hub,False,True,2024-09-10,Delivered,FT-002,Truck,4,43.51,1.46,2024,9,Sep,3,Tuesday,False
77,2024-02-15,,34,Matthew Smith,Austin Hub,False,True,2024-02-14,Delivered,FT-034,Van,4,37.95,3.04,2024,2,Feb,1,Wednesday,False
78,2024-12-01,,39,Jennifer White,Fort Worth Hub,False,True,2024-12-01,Delivered,FT-030,Van,5,8.75,2.02,2024,12,Dec,4,Sunday,True
79,2024-04-19,,24,Elizabeth Jones,Dallas Main Hub,False,True,2024-04-19,Delivered,FT-026,Box Truck,4,16.85,2.66,2024,4,Apr,2,Friday,False
80,2023-09-01,,42,Charles Hernandez,Dallas Main Hub,False,True,2023-08-30,Delivered,FT-008,Van,4,48.83,1.04,2023,8,Aug,3,Wednesday,False
81,2024-06-18,,43,Karen Rodriguez,San Antonio Hub,False,True,2024-06-17,Delivered,FT-036,Truck,5,27.29,1.18,2024,6,Jun,2,Monday,False
82,2024-10-14,,41,Jessica Johnson,El Paso Hub,False,True,2024-10-13,Delivered,FT-041,Truck,4,25.27,0.46,2024,10,Oct,4,Sunday,True
83,2023-01-20,Package Sorting Error,43,Karen Rodriguez,San Antonio Hub,True,False,2023-01-17,Delivered,FT-005,Van,4,77.9,3.2,2023,1,Jan,1,Tuesday,False
84,2023-01-14,,27,Lisa Moore,Dallas Main Hub,False,True,2023-01-13,Delivered,FT-008,Van,4,47.61,1.36,2023,1,Jan,1,Friday,False
85,2023-07-12,,47,Mary Harris,Dallas Main Hub,False,True,2023-07-12,Delivered,FT-015,Van,5,3.56,1.29,2023,7,Jul,3,Wednesday,False
86,2024-08-02,Vehicle Breakdown,15,Patricia Hernandez,El Paso Hub,True,False,2024-07-30,Delivered,FT-041,Truck,4,85.42,1.06,2024,7,Jul,3,Tuesday,False
87,2024-11-15,,13,Daniel Brown,Austin Hub,False,True,2024-11-13,Delivered,FT-023,Van,5,56.56,0.56,2024,11,Nov,4,Wednesday,False
88,2024-07-16,,55,Matthew Rodriguez,Austin Hub,False,True,2024-07-15,Delivered,FT-023,Van,5,36.79,1.77,2024,7,Jul,3,Monday,False
89,2024-12-28,,6,Nancy Thompson,Houston Hub,False,True,2024-12-27,Delivered,FT-019,Van,4,47.05,3.6,2024,12,Dec,4,Friday,False
90,2023-12-26,,19,Robert Garcia,Dallas Main Hub,False,True,2023-12-26,Delivered,FT-010,Van,4,11.72,2.57,2023,12,Dec,4,Tuesday,False
91,2023-02-28,,26,Kevin Thompson,Dallas Main Hub,False,True,2023-02-28,Delivered,FT-021,Pickup,5,3.26,2.43,2023,2,Feb,1,Tuesday,False
92,2023-12-15,,20,David Davis,Fort Worth Hub,False,True,2023-12-15,Delivered,FT-030,Van,5,6.94,2.21,2023,12,Dec,4,Friday,False
93,2023-03-02,Vehicle Breakdown,29,Matthew Williams,Houston Hub,True,False,2023-03-02,Delivered,FT-001,Van,3,22.11,3.66,2023,3,Mar,1,Thursday,False
94,2023-05-14,,12,Charles Thompson,El Paso Hub,False,True,2023-05-13,Delivered,FT-041,Truck,4,35.57,1.47,2023,5,May,2,Saturday,True
95,2023-05-02,,28,Jennifer Rodriguez,Houston Hub,False,True,2023-05-01,Delivered,FT-003,Van,5,32.57,1.93,2023,5,May,2,Monday,False
96,2024-08-04,,21,Patricia Martinez,Austin Hub,False,True,2024-08-03,Delivered,FT-007,Van,4,29.0,1.16,2024,8,Aug,3,Saturday,True
97,2024-06-02,,3,Linda Williams,Dallas Main Hub,False,True,2024-05-31,Delivered,FT-013,Van,5,53.19,2.67,2024,5,May,2,Friday,False
98,2024-02-04,,45,Daniel Brown,Houston Hub,False,True,2024-02-04,Delivered,FT-001,Van,5,13.22,2.06,2024,2,Feb,1,Sunday,True
99,2023-02-06,Vehicle Breakdown,49,Joseph Williams,Dallas Main Hub,True,False,2023-02-06,Delivered,FT-018,Truck,3,20.28,1.11,2023,2,Feb,1,Monday,False
100,2023-09-27,,11,Linda Taylor,San Antonio Hub,False,True,2023-09-27,Delivered,FT-036,Truck,4,8.98,1.66,2023,9,Sep,3,Wednesday,False
101,2024-01-05,,15,Patricia Hernandez,El Paso Hub,False,True,2024-01-04,Delivered,FT-037,Van,5,45.54,1.72,2024,1,Jan,1,Thursday,False
102,2024-04-09,,50,Nancy Thomas,Dallas Main Hub,False,True,2024-04-08,Delivered,FT-021,Pickup,5,46.39,0.74,2024,4,Apr,2,Monday,False
103,2023-10-10,,9,Patricia Jones,Houston Hub,False,True,2023-10-10,Delivered,FT-001,Van,5,17.89,0.56,2023,10,Oct,4,Tuesday,False
104,2024-05-12,,28,Jennifer Rodriguez,Houston Hub,False,True,2024-05-10,Delivered,FT-031,Pickup,4,50.4,2.44,2024,5,May,2,Friday,False
105,2024-07-09,,13,Daniel Brown,Austin Hub,False,True,2024-07-09,Delivered,FT-020,Truck,4,9.34,2.6,2024,7,Jul,3,Tuesday,False
106,2023-09-15,,36,Donald Jackson,Austin Hub,False,True,2023-09-14,Delivered,FT-023,Van,5,27.78,2.97,2023,9,Sep,3,Thursday,False
107,2023-01-24,,29,Matthew Williams,Houston Hub,False,True,2023-01-22,Delivered,FT-003,Van,5,63.54,0.5,2023,1,Jan,1,Sunday,True
108,2024-01-28,,48,Sarah Moore,Houston Hub,False,True,2024-01-26,Delivered,FT-032,Van,4,63.09,2.48,2024,1,Jan,1,Friday,False
109,2024-04-20,,25,Nancy Harris,Austin Hub,False,True,2024-04-19,Delivered,FT-034,Van,4,28.43,0.76,2024,4,Apr,2,Friday,False
110,2024-04-26,Hub Processing Delay,1,Kevin Jones,Dallas Main Hub,True,False,2024-04-24,Delivered,FT-044,Truck,4,55.0,2.07,2024,4,Apr,2,Wednesday,False
111,2023-07-05,,42,Charles Hernandez,Dallas Main Hub,False,True,2023-07-05,Delivered,FT-008,Van,4,15.47,3.36,2023,7,Jul,3,Wednesday,False
112,2024-06-11,,29,Matthew Williams,Houston Hub,False,True,2024-06-10,Delivered,FT-032,Van,4,44.86,1.97,2024,6,Jun,2,Monday,False
113,2023-04-24,Severe Weather,19,Robert Garcia,Dallas Main Hub,True,False,2023-04-21,Delivered,FT-015,Van,4,93.19,1.0,2023,4,Apr,2,Friday,False
114,2023-12-31,,41,Jessica Johnson,El Paso Hub,False,True,2023-12-29,Delivered,FT-037,Van,4,51.8,2.04,2023,12,Dec,4,Friday,False
115,2024-11-25,,47,Mary Harris,Dallas Main Hub,False,True,2024-11-25,Delivered,FT-026,Box Truck,4,3.13,2.57,2024,11,Nov,4,Monday,False
116,2023-12-06,,45,Daniel Brown,Houston Hub,False,True,2023-12-06,Delivered,FT-019,Van,4,10.58,3.85,2023,12,Dec,4,Wednesday,False
117,2024-01-28,,17,Donald Martin,Fort Worth Hub,False,True,2024-01-28,Delivered,FT-030,Van,4,15.96,1.16,2024,1,Jan,1,Sunday,True
118,2023-06-11,Road Construction,52,Daniel Garcia,Austin Hub,True,False,2023-06-10,Delivered,FT-007,Van,3,47.49,3.03,2023,6,Jun,2,Saturday,True
119,2024-12-09,,20,David Davis,Fort Worth Hub,False,True,2024-12-09,Delivered,FT-030,Van,4,8.54,3.52,2024,12,Dec,4,Monday,False
120,2023-04-12,,39,Jennifer White,Fort Worth Hub,False,True,2023-04-12,Delivered,FT-039,Van,4,5.6,3.41,2023,4,Apr,2,Wednesday,False
121,2024-03-11,Vehicle Breakdown,49,Joseph Williams,Dallas Main Hub,True,False,2024-03-10,Delivered,FT-015,Van,2,41.25,1.17,2024,3,Mar,1,Sunday,True
122,2024-05-21,,19,Robert Garcia,Dallas Main Hub,False,True,2024-05-20,Delivered,FT-010,Van,5,32.73,0.63,2024,5,May,2,Monday,False
123,2024-10-02,,7,Karen Hernandez,Dallas Main Hub,False,True,2024-10-02,Delivered,FT-012,Van,4,15.41,3.31,2024,10,Oct,4,Wednesday,False
124,2024-02-10,,10,Daniel Williams,Houston Hub,False,True,2024-02-09,Delivered,FT-022,Van,4,32.43,0.89,2024,2,Feb,1,Friday,False
125,2023-06-14,,1,Kevin Jones,Dallas Main Hub,False,True,2023-06-13,Delivered,FT-044,Truck,5,29.01,3.73,2023,6,Jun,2,Tuesday,False
126,2023-12-31,,40,Charles Moore,Dallas Main Hub,False,True,2023-12-31,Delivered,FT-044,Truck,4,20.49,1.17,2023,12,Dec,4,Sunday,True
127,2023-01-05,,7,Karen Hernandez,Dallas Main Hub,False,True,2023-01-05,Delivered,FT-013,Van,4,6.33,2.85,2023,1,Jan,1,Thursday,False
128,2023-08-23,,8,Charles Lopez,Houston Hub,False,True,2023-08-21,Delivered,FT-003,Van,5,50.85,1.11,2023,8,Aug,3,Monday,False
129,2023-02-22,,31,Anthony Jackson,Austin Hub,False,True,2023-02-22,Delivered,FT-034,Van,5,21.7,1.7,2023,2,Feb,1,Wednesday,False
130,2023-06-04,,39,Jennifer White,Fort Worth Hub,False,True,2023-06-02,Delivered,FT-039,Van,5,57.39,2.29,2023,6,Jun,2,Friday,False
131,2023-09-22,,11,Linda Taylor,San Antonio Hub,False,True,2023-09-22,Delivered,FT-036,Truck,5,12.43,2.8,2023,9,Sep,3,Friday,False
132,2024-07-06,,14,Sarah Davis,Houston Hub,False,True,2024-07-04,Delivered,FT-016,Van,4,50.92,2.89,2024,7,Jul,3,Thursday,False
133,2023-02-13,,31,Anthony Jackson,Austin Hub,False,True,2023-02-12,Delivered,FT-025,Van,4,40.06,0.72,2023,2,Feb,1,Sunday,True
134,2023-12-05,,33,Charles Davis,Dallas Main Hub,False,True,2023-12-04,Delivered,FT-010,Van,5,24.99,2.9,2023,12,Dec,4,Monday,False
135,2024-12-15,,28,Jennifer Rodriguez,Houston Hub,False,True,2024-12-15,Delivered,FT-019,Van,4,16.49,0.65,2024,12,Dec,4,Sunday,True
136,2023-05-04,Customer Not Home,34,Matthew Smith,Austin Hub,True,False,2023-05-04,Delivered,FT-023,Van,3,4.3,3.7,2023,5,May,2,Thursday,False
137,2024-10-01,,11,Linda Taylor,San Antonio Hub,False,True,2024-09-30,Delivered,FT-027,Truck,4,31.02,2.58,2024,9,Sep,3,Monday,False
138,2024-08-01,Road Construction,48,Sarah Moore,Houston Hub,True,False,2024-07-28,Delivered,FT-017,Truck,3,98.04,1.72,2024,7,Jul,3,Sunday,True
139,2024-12-15,,25,Nancy Harris,Austin Hub,False,True,2024-12-15,Delivered,FT-025,Van,4,16.01,2.92,2024,12,Dec,4,Sunday,True
140,2024-05-15,,32,Daniel Thomas,Houston Hub,False,True,2024-05-14,Delivered,FT-022,Van,5,34.93,0.54,2024,5,May,2,Tuesday,False
141,2024-02-16,,38,Elizabeth Harris,El Paso Hub,False,True,2024-02-15,Delivered,FT-041,Truck,4,24.45,3.04,2024,2,Feb,1,Thursday,False
142,2024-02-22,,20,David Davis,Fort Worth Hub,False,True,2024-02-22,Delivered,FT-030,Van,5,16.8,2.21,2024,2,Feb,1,Thursday,False
143,2024-05-26,,11,Linda Taylor,San Antonio Hub,False,True,2024-05-26,Delivered,FT-005,Van,5,8.0,2.04,2024,5,May,2,Sunday,True
144,2023-12-19,,21,Patricia Martinez,Austin Hub,False,True,2023-12-19,Delivered,FT-040,Van,5,18.49,1.55,2023,12,Dec,4,Tuesday,False
145,2024-03-22,,43,Karen Rodriguez,San Antonio Hub,False,True,2024-03-22,Delivered,FT-005,Van,5,4.83,1.27,2024,3,Mar,1,Friday,False
146,2023-10-22,,42,Charles Hernandez,Dallas Main Hub,False,True,2023-10-21,Delivered,FT-013,Van,5,39.93,2.07,2023,10,Oct,4,Saturday,True
147,2023-01-12,,9,Patricia Jones,Houston Hub,False,True,2023-01-11,Delivered,FT-019,Van,4,29.37,2.46,2023,1,Jan,1,Wednesday,False
148,2024-08-06,,26,Kevin Thompson,Dallas Main Hub,False,True,2024-08-04,Delivered,FT-010,Van,4,66.73,2.77,2024,8,Aug,3,Sunday,True
149,2023-04-12,,3,Linda Williams,Dallas Main Hub,False,True,2023-04-12,Delivered,FT-044,Truck,5,8.41,2.97,2023,4,Apr,2,Wednesday,False
150,2023-02-27,,41,Jessica Johnson,El Paso Hub,False,True,2023-02-26,Delivered,FT-006,Van,4,40.38,1.06,2023,2,Feb,1,Sunday,True
151,2023-03-26,,2,Jennifer Lopez,Houston Hub,False,True,2023-03-26,Delivered,FT-017,Truck,5,10.2,2.28,2023,3,Mar,1,Sunday,True
152,2024-09-03,,4,Charles Thompson,Fort Worth Hub,False,True,2024-09-01,Delivered,FT-030,Van,4,50.45,2.38,2024,9,Sep,3,Sunday,True
153,2024-04-17,Customer Not Home,52,Daniel Garcia,Austin Hub,True,False,2024-04-16,Delivered,FT-025,Van,3,36.3,2.56,2024,4,Apr,2,Tuesday,False
154,2023-04-07,,50,Nancy Thomas,Dallas Main Hub,False,True,2023-04-07,Delivered,FT-015,Van,4,6.47,2.13,2023,4,Apr,2,Friday,False
155,2024-05-30,,42,Charles Hernandez,Dallas Main Hub,False,True,2024-05-30,Delivered,FT-015,Van,5,4.17,2.3,2024,5,May,2,Thursday,False
156,2024-06-13,,33,Charles Davis,Dallas Main Hub,False,True,2024-06-13,Delivered,FT-018,Truck,4,17.37,2.57,2024,6,Jun,2,Thursday,False
157,2024-08-21,,5,Lisa Taylor,San Antonio Hub,False,True,2024-08-21,Delivered,FT-005,Van,4,23.17,0.67,2024,8,Aug,3,Wednesday,False
158,2024-02-04,,46,Kevin White,Austin Hub,False,True,2024-02-04,Delivered,FT-023,Van,4,7.56,2.24,2024,2,Feb,1,Sunday,True
159,2023-04-06,,35,Daniel Rodriguez,Houston Hub,False,True,2023-04-05,Delivered,FT-028,Pickup,4,24.72,2.83,2023,4,Apr,2,Wednesday,False
160,2023-08-26,,51,Kevin Brown,Dallas Main Hub,False,True,2023-08-24,Delivered,FT-015,Van,5,51.84,3.22,2023,8,Aug,3,Thursday,False
161,2024-06-16,,11,Linda Taylor,San Antonio Hub,False,True,2024-06-15,Delivered,FT-036,Truck,4,38.36,2.81,2024,6,Jun,2,Saturday,True
162,2023-11-16,,34,Matthew Smith,Austin Hub,False,True,2023-11-15,Delivered,FT-040,Van,4,30.27,3.26,2023,11,Nov,4,Wednesday,False
163,2023-11-19,Vehicle Breakdown,12,Charles Thompson,El Paso Hub,True,False,2023-11-17,Delivered,FT-045,Box Truck,3,51.3,1.23,2023,11,Nov,4,Friday,False
164,2023-05-20,,27,Lisa Moore,Dallas Main Hub,False,True,2023-05-18,Delivered,FT-008,Van,5,66.85,1.09,2023,5,May,2,Thursday,False
165,2024-09-17,,11,Linda Taylor,San Antonio Hub,False,True,2024-09-16,Delivered,FT-005,Van,5,24.55,1.43,2024,9,Sep,3,Monday,False
166,2024-06-13,,7,Karen Hernandez,Dallas Main Hub,False,True,2024-06-11,Delivered,FT-026,Box Truck,5,66.15,2.23,2024,6,Jun,2,Tuesday,False
